1785734807025,bot21,rtt,70
1785734807026,bot23,rtt,72
1785734807027,bot14,rtt,73
1785734807029,bot26,rtt,75
1785734807031,bot16,rtt,76
1785734807032,bot28,rtt,78
1785734807034,bot18,rtt,79
1785734807035,bot20,rtt,80
1785734807036,bot22,rtt,82
1785734807994,bot24,rtt,45
1785734807997,bot15,rtt,42
1785734807998,bot13,rtt,43
1785734807999,bot17,rtt,44
1785734808000,bot19,rtt,45
1785734808001,bot21,rtt,46
1785734808002,bot23,rtt,48
1785734808003,bot26,rtt,49
1785734808004,bot28,rtt,50
1785734808005,bot1,rtt,48
1785734808005,bot0,rtt,48
1785734808006,bot2,rtt,49
1785734808007,bot4,rtt,50
1785734808007,bot6,rtt,50
1785734808008,bot8,rtt,51
1785734808009,bot10,rtt,54
1785734808009,bot12,rtt,54
1785734808010,bot14,rtt,55
1785734808010,bot16,rtt,55
1785734808013,bot18,rtt,58
1785734808014,bot20,rtt,59
1785734808015,bot22,rtt,60
1785734808016,bot25,rtt,62
1785734808017,bot27,rtt,63
1785734808018,bot29,rtt,64
1785734808025,bot3,rtt,68
1785734808026,bot5,rtt,69
1785734808027,bot7,rtt,70
1785734808028,bot9,rtt,71
1785734808028,bot11,rtt,71
1785734808995,bot24,rtt,45
1785734808995,bot26,rtt,41
1785734808996,bot28,rtt,42
1785734808996,bot25,rtt,42
1785734808997,bot27,rtt,43
1785734808997,bot29,rtt,43
1785734808999,bot13,rtt,45
1785734809000,bot10,rtt,44
1785734809000,bot17,rtt,46
1785734809001,bot12,rtt,47
1785734809002,bot19,rtt,46
1785734809003,bot14,rtt,49
1785734809004,bot21,rtt,48
1785734809005,bot16,rtt,51
1785734809006,bot23,rtt,52
1785734809007,bot18,rtt,53
1785734809010,bot20,rtt,54
1785734809011,bot22,rtt,57
1785734809016,bot0,rtt,57
1785734809017,bot15,rtt,63
1785734809019,bot2,rtt,61
1785734809020,bot4,rtt,62
1785734809021,bot1,rtt,62
1785734809022,bot6,rtt,63
1785734809023,bot3,rtt,64
1785734809024,bot8,rtt,65
1785734809025,bot5,rtt,66
1785734809026,bot7,rtt,67
1785734809027,bot9,rtt,68
1785734809028,bot11,rtt,69
1785734809995,bot24,rtt,44
1785734809999,bot12,rtt,43
1785734809999,bot17,rtt,43
1785734810000,bot14,rtt,44
1785734810001,bot19,rtt,42
1785734810001,bot16,rtt,45
1785734810002,bot21,rtt,42
1785734810002,bot18,rtt,46
1785734810003,bot23,rtt,47
1785734810004,bot20,rtt,44
1785734810006,bot22,rtt,50
1785734810007,bot25,rtt,51
1785734810007,bot26,rtt,51
1785734810008,bot27,rtt,52
1785734810009,bot28,rtt,53
1785734810009,bot29,rtt,53
1785734810010,bot0,rtt,44
1785734810011,bot1,rtt,45
1785734810012,bot2,rtt,47
1785734810013,bot3,rtt,47
1785734810013,bot4,rtt,48
1785734810014,bot5,rtt,48
1785734810015,bot6,rtt,50
1785734810016,bot7,rtt,50
1785734810016,bot8,rtt,50
1785734810019,bot9,rtt,53
1785734810020,bot10,rtt,60
1785734810021,bot11,rtt,55
1785734810022,bot15,rtt,66
1785734810030,bot13,rtt,74
1785734810996,bot24,rtt,45
1785734811002,bot12,rtt,44
1785734811003,bot14,rtt,45
1785734811004,bot16,rtt,46
1785734811006,bot18,rtt,48
1785734811007,bot20,rtt,47
1785734811008,bot22,rtt,50
