1785733665157,bot23,rtt,5161
1785733665247,bot8,rtt,5111
1785733665248,bot20,rtt,5112
1785733665260,bot10,rtt,5124
1785733665260,bot12,rtt,5124
1785733665261,bot18,rtt,5125
1785733665261,bot22,rtt,5125
1785733665375,bot1,rtt,5239
1785733665376,bot7,rtt,5240
1785733665377,bot11,rtt,5241
1785733665379,bot19,rtt,5243
1785733665379,bot21,rtt,5243
1785733665380,bot25,rtt,5244
1785733665624,bot24,rtt,4804
1785733665629,bot28,rtt,4856
1785733665638,bot26,rtt,4642
1785733665639,bot0,rtt,4642
1785733665639,bot2,rtt,4642
1785733665644,bot27,rtt,4824
1785733665644,bot29,rtt,4824
1785733665648,bot14,rtt,4651
1785733665649,bot16,rtt,4652
1785733665653,bot23,rtt,4656
1785733665654,bot4,rtt,4657
1785733665655,bot6,rtt,4658
1785733665657,bot10,rtt,4502
1785733665658,bot3,rtt,4661
1785733665659,bot5,rtt,4662
1785733665660,bot9,rtt,4663
1785733665662,bot13,rtt,4665
1785733665662,bot15,rtt,4665
1785733665665,bot12,rtt,4511
1785733665667,bot18,rtt,4513
1785733665668,bot20,rtt,4513
1785733665671,bot17,rtt,4674
1785733665735,bot8,rtt,4581
1785733665745,bot22,rtt,4591
1785733665933,bot24,rtt,4112
1785733665934,bot26,rtt,3938
1785733665934,bot28,rtt,4158
1785733665937,bot4,rtt,3939
1785733665938,bot6,rtt,3940
1785733665940,bot14,rtt,3942
1785733665942,bot0,rtt,3944
1785733665942,bot2,rtt,3944
1785733665949,bot16,rtt,3951
1785733665963,bot7,rtt,4808
1785733665964,bot11,rtt,4809
1785733665977,bot19,rtt,4822
1785733665978,bot21,rtt,4824
1785733665979,bot25,rtt,4825
1785733665981,bot1,rtt,4827
1785733666050,bot10,rtt,3870
1785733666052,bot18,rtt,3872
1785733666053,bot20,rtt,3873
1785733666062,bot8,rtt,3882
1785733666062,bot12,rtt,3882
1785733666063,bot22,rtt,3883
1785733666182,bot27,rtt,4361
1785733666183,bot29,rtt,4362
1785733666257,bot24,rtt,3436
1785733666258,bot28,rtt,3446
1785733666355,bot9,rtt,4357
1785733666356,bot13,rtt,4358
1785733666357,bot15,rtt,4359
1785733666358,bot17,rtt,4360
1785733666360,bot23,rtt,4363
1785733666363,bot0,rtt,3360
1785733666364,bot5,rtt,4366
1785733666365,bot3,rtt,4367
1785733666426,bot26,rtt,3424
1785733666427,bot2,rtt,3425
1785733666428,bot4,rtt,3425
1785733666428,bot6,rtt,3426
1785733666429,bot14,rtt,3427
1785733666429,bot16,rtt,3427
1785733666444,bot8,rtt,3249
1785733666445,bot12,rtt,3250
1785733666446,bot18,rtt,3251
1785733666446,bot20,rtt,3251
1785733666447,bot22,rtt,3252
1785733666522,bot10,rtt,3327
1785733666534,bot25,rtt,4354
1785733666547,bot1,rtt,4367
1785733666548,bot7,rtt,4368
1785733666549,bot11,rtt,4369
1785733666550,bot19,rtt,4370
1785733666551,bot21,rtt,4371
1785733666755,bot27,rtt,3934
1785733666756,bot29,rtt,3935
1785733666821,bot15,rtt,3819
1785733666821,bot17,rtt,3819
1785733666822,bot23,rtt,3820
1785733666824,bot3,rtt,3821
1785733666824,bot5,rtt,3822
1785733666825,bot9,rtt,3823
1785733666825,bot13,rtt,3823
1785733666829,bot24,rtt,3008
1785733666830,bot28,rtt,3017
1785733666850,bot0,rtt,2842
1785733666850,bot2,rtt,2842
1785733666851,bot4,rtt,2843
1785733666851,bot6,rtt,2843
1785733666853,bot14,rtt,2845
1785733666853,bot16,rtt,2845
1785733666855,bot26,rtt,2848
1785733666871,bot1,rtt,3676
1785733666872,bot7,rtt,3677
1785733666873,bot11,rtt,3678
1785733666874,bot19,rtt,3679
1785733666874,bot21,rtt,3679
1785733666875,bot25,rtt,3680
1785733666938,bot8,rtt,2743
1785733666939,bot10,rtt,2743
1785733666940,bot20,rtt,2744
1785733666950,bot22,rtt,2755
1785733666953,bot12,rtt,2757
1785733666953,bot18,rtt,2758
1785733667055,bot27,rtt,3234
1785733667056,bot29,rtt,3235
1785733667173,bot24,rtt,2351
1785733667174,bot28,rtt,2361
1785733667257,bot14,rtt,2248
1785733667273,bot26,rtt,2266
1785733667278,bot1,rtt,3084
1785733667279,bot3,rtt,3271
1785733667279,bot5,rtt,3271
1785733667280,bot7,rtt,3084
1785733667280,bot9,rtt,3272
1785733667281,bot11,rtt,3085
1785733667281,bot13,rtt,3273
1785733667282,bot15,rtt,3274
1785733667283,bot17,rtt,3275
1785733667283,bot19,rtt,3087
1785733667284,bot21,rtt,3089
1785733667284,bot23,rtt,3276
1785733667285,bot25,rtt,3090
1785733667289,bot0,rtt,2280
1785733667290,bot4,rtt,2281
1785733667290,bot6,rtt,2281
1785733667329,bot2,rtt,2320
1785733667336,bot16,rtt,2327
1785733667340,bot12,rtt,2145
1785733667343,bot18,rtt,2148
1785733667343,bot22,rtt,2148
1785733667346,bot20,rtt,2150
1785733667348,bot8,rtt,2153
1785733667349,bot10,rtt,2154
1785733667544,bot24,rtt,1721
1785733667545,bot28,rtt,1732
1785733667636,bot16,rtt,1625
1785733667638,bot0,rtt,1626
1785733667638,bot2,rtt,1627
1785733667638,bot6,rtt,1626
1785733667639,bot14,rtt,1628
1785733667644,bot26,rtt,1636
1785733667645,bot4,rtt,1633
1785733667668,bot27,rtt,2846
1785733667669,bot29,rtt,2848
1785733667674,bot3,rtt,2665
1785733667675,bot5,rtt,2666
1785733667675,bot9,rtt,2666
1785733667676,bot23,rtt,2668
1785733667678,bot13,rtt,2669
1785733667678,bot15,rtt,2669
1785733667678,bot17,rtt,2670
1785733667731,bot20,rtt,1530
1785733667733,bot22,rtt,1537
1785733667742,bot1,rtt,2547
1785733667744,bot7,rtt,2549
1785733667745,bot11,rtt,2550
1785733667747,bot8,rtt,1551
1785733667747,bot10,rtt,1551
1785733667748,bot12,rtt,1552
1785733667749,bot19,rtt,2553
1785733667750,bot21,rtt,2555
1785733667750,bot18,rtt,1554
1785733667751,bot25,rtt,2556
1785733667860,bot24,rtt,1035
1785733667860,bot28,rtt,1047
1785733667942,bot6,rtt,930
1785733667944,bot14,rtt,932
1785733667944,bot16,rtt,933
1785733667947,bot26,rtt,938
1785733667948,bot0,rtt,936
1785733667948,bot2,rtt,936
1785733667948,bot4,rtt,935
1785733668037,bot20,rtt,836
1785733668037,bot22,rtt,840
1785733668038,bot10,rtt,841
1785733668040,bot8,rtt,843
1785733668040,bot12,rtt,843
1785733668041,bot18,rtt,844
1785733668139,bot27,rtt,2316
1785733668140,bot29,rtt,2317
1785733668164,bot15,rtt,2152
1785733668165,bot17,rtt,2157
1785733668166,bot23,rtt,2158
1785733668168,bot3,rtt,2156
1785733668168,bot9,rtt,2157
1785733668169,bot13,rtt,2157
1785733668169,bot5,rtt,2158
1785733668272,bot1,rtt,2077
1785733668273,bot7,rtt,2077
1785733668274,bot11,rtt,2078
1785733668276,bot19,rtt,2075
1785733668277,bot21,rtt,2081
1785733668278,bot25,rtt,2082
1785733668333,bot24,rtt,508
